,S_daily,sigmaS_daily,n_articles
2021-08-27,0.050281253,0.25229589302139765,16
2021-08-28,-0.056045458,0.27714666644264463,11
2021-08-29,-0.0686875,0.14942865838186373,8
2021-08-30,0.19468334,0.2566668804115915,18
2021-08-31,0.07044999,0.38257997805059046,18
2021-09-01,0.084225,0.3365453506110823,20
2021-09-02,0.022035295,0.30963276431750864,17
2021-09-03,-0.23706922,0.3763284986661826,13
2021-09-04,-0.00606668,0.3497464754242378,6
2021-09-05,-0.31845,0.45035631439994367,2
2021-09-06,0.033671428,0.2854024961405683,7
2021-09-07,0.046304002,0.27034943100960784,25
2021-09-08,-0.0024153842,0.17936499462574973,13
2021-09-09,0.053723533,0.28615907620926867,17
2021-09-10,0.011599999,0.2504607789127549,9
2021-09-11,0.0086,0.014895637450959884,3
2021-09-12,-0.093425,0.41089456045737827,4
2021-09-13,-0.061679166,0.33473819536561134,24
2021-09-14,0.13516842,0.2880947727907965,19
2021-09-15,0.053500004,0.23892054922564115,18
2021-09-16,0.12272274,0.28015637828441536,22
2021-09-17,0.061405882,0.37828116192352423,17
2021-09-18,0.0067071402,0.3865384479240382,14
2021-09-19,0.17641668,0.429537967770489,6
2021-09-20,0.01130417,0.37721636034229367,24
2021-09-21,0.02199375,0.18706637103392498,16
2021-09-22,0.0037750036,0.36803686872444175,20
2021-09-23,0.053781483,0.28899826248172106,27
2021-09-24,-0.128525,0.29208882629105437,16
2021-09-25,0.1224125,0.2969953642488901,8
2021-09-26,0.14521429,0.3600385100655985,7
2021-09-27,0.003500002,0.2841354059272107,26
2021-09-28,-0.039571427,0.4046981879327394,28
2021-09-29,-0.024666665,0.35150027996202987,27
2021-09-30,-0.09848611,0.26922237214464745,36
2021-10-01,0.13005333,0.2536091324403429,15
2021-10-02,-0.1544,0.277387037935278,13
2021-10-03,-0.08648334,0.3540341755208058,6
2021-10-04,-0.031057574,0.2528668225549786,33
2021-10-05,-0.0968,0.37274692435328355,24
2021-10-06,0.17706472,0.3331770079122811,34
2021-10-07,0.09169565,0.24349911964695814,23
2021-10-08,0.049528003,0.33943704798272917,25
2021-10-09,-0.1406643,0.31948944659747774,14
2021-10-10,0.100158334,0.3546197051938238,12
2021-10-11,0.26684117,0.40801587665272104,17
2021-10-12,0.07965238,0.3104702245496607,21
2021-10-13,-0.016094446,0.3115238925875308,18
2021-10-14,0.05910625,0.3923813052139238,16
